source,source_type,relation,sub_relation,target,target_type,source_table
加易尼,西药,成份,,甲磺酸帕珠沙星,,
加易尼,西药,不良反应,,肺炎,疾病,
加易尼,西药,适应症,,肺炎,疾病,
加替沙星分散片,西药,英文名称,,Gatifloxacin Dispersible Tablets,,
加替沙星分散片,西药,OTC类型,,乙类OTC,,
加易尼,西药,不良反应,,间质性肺炎,,
加替沙星分散片,西药,分类,,喹诺酮类,,
加替沙星分散片,西药,药品监管分级,,医保药品,,
加替沙星分散片,西药,成份,,加替沙星,,
加替沙星分散片,西药,适应症,,敏感,,
加替沙星分散片,西药,适应症,,支气管炎,疾病,
加替沙星分散片,西药,适应症,,感染,疾病,
加替沙星分散片,西药,适应症,,炎症,,
加替沙星分散片,西药,适应症,,肺炎,疾病,
加替沙星氯化钠注射液,西药,有效期,,24个月,,
加替沙星氯化钠注射液,西药,英文名称,,Catifloxacin and Sodium Chloride Injection,,
加替沙星氯化钠注射液,西药,英文名称,,Gatifloxacin Sodium Injection,,
加替沙星氯化钠注射液,西药,英文名称,,Gatifloxacin and Sodium Chloride For Injection,,
加替沙星氯化钠注射液,西药,英文名称,,Gatifloxacind and Sodium Chloride Injiection,,
加替沙星氯化钠注射液,西药,英文名称,,Gatifloxacin and Sodium Chloride Injection,,
加替沙星氯化钠注射液,西药,OTC类型,,乙类OTC,,
加替沙星氯化钠注射液,西药,英文名称,,Gatifloxacin Sodium Chloride Injection,,
加替沙星氯化钠注射液,西药,不良反应,,丘疹,,
加替沙星氯化钠注射液,西药,商品名,,乐派,西药,
加替沙星氯化钠注射液,西药,不良反应,,光敏,,
加替沙星氯化钠注射液,西药,商品名,,卡麦,西药,
加替沙星氯化钠注射液,西药,成份,,加替沙星,,
加替沙星氯化钠注射液,西药,药品监管分级,,医保药品,,
加替沙星氯化钠注射液,西药,商品名,,加葵龙,西药,
加替沙星氯化钠注射液,西药,不良反应,,变态反应,,
加替沙星氯化钠注射液,西药,不良反应,,发热,,
加替沙星氯化钠注射液,西药,不良反应,,发绀,,
加替沙星氯化钠注射液,西药,商品名,,利欧,西药,
加替沙星氯化钠注射液,西药,用途分类,,合成抗菌药,,
加替沙星氯化钠注射液,西药,不良反应,,呼吸困难,,
加替沙星氯化钠注射液,西药,适应症,,变形杆菌,,
加替沙星氯化钠注射液,西药,不良反应,,味觉丧失,,
加替沙星氯化钠注射液,西药,不良反应,,哮喘,疾病,
加替沙星氯化钠注射液,西药,不良反应,,味觉异常,,
加替沙星氯化钠注射液,西药,分类,,喹诺酮类,,
加替沙星氯化钠注射液,西药,药品类型,,处方药,,
加替沙星氯化钠注射液,西药,药品监管分级,,国家基本用药； 医保药品,,
加替沙星氯化钠注射液,西药,不良反应,,头痛,,
加替沙星氯化钠注射液,西药,不良反应,,寒战,,
加替沙星氯化钠注射液,西药,商品名,,奎泰,西药,
加替沙星氯化钠注射液,西药,商品名,,帕特拉,西药,
加替沙星氯化钠注射液,西药,不良反应,,恶心,,
加替沙星氯化钠注射液,西药,不良反应,,意识模糊,,
加替沙星氯化钠注射液,西药,不良反应,,恶心，呕吐,,
加替沙星氯化钠注射液,西药,不良反应,,惊厥,,
加替沙星氯化钠注射液,西药,适应症,,感染,疾病,
加替沙星氯化钠注射液,西药,适应症,,支气管炎,疾病,
加替沙星氯化钠注射液,西药,不良反应,,支气管痉挛,,
加替沙星氯化钠注射液,西药,适应症,,敏感,,
加替沙星氯化钠注射液,西药,不良反应,,敏感,,
加替沙星氯化钠注射液,西药,不良反应,,斑丘疹,,
加替沙星氯化钠注射液,西药,适应症,,慢性支气管炎,疾病,
加替沙星氯化钠注射液,西药,禁忌,,本品禁用于对加替沙星或喹诺酮类药物过敏者,,
加替沙星氯化钠注射液,西药,适应症,,气管炎,疾病,
加替沙星氯化钠注射液,西药,分类,,氟喹诺酮类/氟喹诺酮,,
加替沙星氯化钠注射液,西药,分类,,氟喹诺酮类,,
加替沙星氯化钠注射液,西药,商品名,,来福乐欣,西药,
加替沙星氯化钠注射液,西药,成份,,氯化钠,,
加替沙星氯化钠注射液,西药,性状,,淡黄绿色的澄明液体,,
加替沙星氯化钠注射液,西药,不良反应,,混乱,,
加替沙星氯化钠注射液,西药,OTC类型,,甲类OTC,,
加替沙星氯化钠注射液,西药,不良反应,,激动,,
加替沙星氯化钠注射液,西药,适应症,,炎症,,
加替沙星氯化钠注射液,西药,不良反应,,白细胞减少,,
加替沙星氯化钠注射液,西药,不良反应,,皮疹,疾病,
加替沙星氯化钠注射液,西药,成份,,盐酸,,
加替沙星氯化钠注射液,西药,适应症,,细菌,,
加替沙星氯化钠注射液,西药,禁忌,,糖尿病患者禁用,,
加替沙星氯化钠注射液,西药,不良反应,,紫绀,,
加替沙星氯化钠注射液,西药,不良反应,,粒细胞减少,,
加替沙星氯化钠注射液,西药,不良反应,,肌痛,,
加替沙星氯化钠注射液,西药,适应症,,肺炎,疾病,
加替沙星氯化钠注射液,西药,不良反应,,胸骨下胸痛,,
加替沙星氯化钠注射液,西药,不良反应,,胸痛,疾病,
加替沙星氯化钠注射液,西药,贮藏,,遮光、密封保存,,
加替沙星氯化钠注射液,西药,不良反应,,过敏,,
加替沙星氯化钠注射液,西药,适应症,,葡萄球菌,,
加替沙星氯化钠注射液,西药,适应症,,金黄色葡萄球菌,,
加替沙星氯化钠注射液,西药,不良反应,,血红蛋白下降,,
加替沙星氯化钠注射液,西药,不良反应,,静脉炎,疾病,
加替沙星注射液,西药,规格,,50ml：0.2g,,
加替沙星氯化钠注射液,西药,不良反应,,食欲缺乏,,
加替沙星注射液,西药,英文名称,,Gatifloxacin Injection,,
加替沙星注射液,西药,不良反应,,丘疹,,
加替沙星注射液,西药,有效期,,二年,,
加替沙星注射液,西药,OTC类型,,乙类OTC,,
加替沙星注射液,西药,商品名,,乐派,西药,
加替沙星注射液,西药,不良反应,,光敏,,
加替沙星注射液,西药,药品监管分级,,医保药品,,
加替沙星注射液,西药,成份,,加替沙星,,
加替沙星注射液,西药,不良反应,,发热,,
加替沙星注射液,西药,用途分类,,合成抗菌药,,
加替沙星注射液,西药,商品名,,利欧,西药,
加替沙星注射液,西药,适应症,,副流感嗜血杆菌,,
加替沙星注射液,西药,不良反应,,呕吐,,
加替沙星注射液,西药,适应症,,卡他莫拉菌或金黄色葡萄球菌所致,,
加替沙星注射液,西药,不良反应,,变态反应,,
加替沙星注射液,西药,适应症,,变形杆菌,,
加替沙星注射液,西药,不良反应,,味觉丧失,,
加替沙星注射液,西药,不良反应,,呼吸困难,,
加替沙星注射液,西药,药品监管分级,,国家基本用药； 医保药品,,
加替沙星注射液,西药,药品类型,,处方药,,
加替沙星注射液,西药,不良反应,,哮喘,疾病,
加替沙星注射液,西药,分类,,喹诺酮类,,
加替沙星注射液,西药,不良反应,,呕血,,
加替沙星注射液,西药,不良反应,,恶心,,
加替沙星注射液,西药,不良反应,,心动过速,,
加替沙星注射液,西药,不良反应,,寒战,,
加替沙星注射液,西药,不良反应,,头痛,,
加替沙星注射液,西药,适应症,,感染,疾病,
加替沙星注射液,西药,不良反应,,恶心，呕吐,,
加替沙星注射液,西药,不良反应,,恶心、呕吐,,
加替沙星注射液,西药,不良反应,,敏感,,
加替沙星注射液,西药,不良反应,,支气管痉挛,,
加替沙星注射液,西药,适应症,,慢性支气管炎,疾病,
加替沙星注射液,西药,不良反应,,惊厥,,
加替沙星注射液,西药,适应症,,支气管炎,疾病,
加替沙星注射液,西药,适应症,,敏感,,
加替沙星注射液,西药,适应症,,气管炎,疾病,
加替沙星注射液,西药,分类,,氟喹诺酮类/氟喹诺酮,,
加替沙星注射液,西药,不良反应,,斑丘疹,,
加替沙星注射液,西药,禁忌,,本品禁用于对加替沙星或喹诺酮类药物过敏者,,
加替沙星注射液,西药,不良反应,,混乱,,
加替沙星注射液,西药,OTC类型,,甲类OTC,,
加替沙星注射液,西药,适应症,,流感嗜血杆菌,,
加替沙星注射液,西药,不良反应,,皮疹,疾病,
加替沙星注射液,西药,不良反应,,白细胞减少,,
加替沙星注射液,西药,不良反应,,粒细胞减少,,
加替沙星注射液,西药,适应症,,细菌,,
加替沙星注射液,西药,适应症,,肺炎,疾病,
加替沙星注射液,西药,不良反应,,肌无力,,
加替沙星注射液,西药,不良反应,,肌痛,,
加替沙星注射液,西药,不良反应,,紫绀,,
加替沙星注射液,西药,不良反应,,胸痛,疾病,
加替沙星注射液,西药,不良反应,,胸骨下胸痛,,
加替沙星注射液,西药,适应症,,葡萄球菌,,
加替沙星注射液,西药,贮藏,,遮光，密闭保存,,
加替沙星注射液,西药,不良反应,,过敏,,
加替沙星注射液,西药,不良反应,,视觉异常,,
加替沙星注射液,西药,适应症,,金黄色葡萄球菌,,
加替沙星注射液,西药,不良反应,,静脉炎,疾病,
加替沙星注射液,西药,不良反应,,食欲缺乏,,
加替沙星注射液,西药,性状,,黄色或黄绿色澄明液体,,
加替沙星片,西药,规格,,0.1g,,
加替沙星片,西药,有效期,,24个月,,
加替沙星片,西药,不良反应,,不能耐受酒精,,
加替沙星片,西药,英文名称,,Gatifloxacin Tablets,,
加替沙星片,西药,不良反应,,丘疹,,
加替沙星片,西药,OTC类型,,乙类OTC,,
加替沙星片,西药,成份,,加替沙星,,
加替沙星片,西药,药品监管分级,,医保药品,,
加替沙星片,西药,不良反应,,变态反应,,
加替沙星片,西药,不良反应,,共济失调,,
加替沙星片,西药,用途分类,,合成抗菌药,,
加替沙星片,西药,商品名,,利欧,西药,
加替沙星片,西药,不良反应,,呕吐,,
加替沙星片,西药,不良反应,,味觉异常,,
加替沙星片,西药,不良反应,,发热,,
加替沙星片,西药,不良反应,,呼吸困难,,
加替沙星片,西药,分类,,喹诺酮类,,
加替沙星片,西药,药品监管分级,,国家基本用药； 医保药品,,
加替沙星片,西药,不良反应,,哮喘,疾病,
加替沙星片,西药,不良反应,,味觉丧失,,
加替沙星片,西药,药品监管分级,,国家基本用药； 运动员禁用药物,,
加替沙星片,西药,药品类型,,处方药,,
加替沙星片,西药,不良反应,,寒战,,
加替沙星片,西药,不良反应,,头痛,,
加替沙星片,西药,不良反应,,心动过速,,
加替沙星片,西药,不良反应,,幻觉,,
加替沙星片,西药,不良反应,,恶心,,
加替沙星片,西药,不良反应,,意识模糊,,
加替沙星片,西药,适应症,,敏感,,
加替沙星片,西药,适应症,,感染,疾病,
加替沙星片,西药,不良反应,,无力,,
加替沙星片,西药,不良反应,,惊厥,,
加替沙星片,西药,适应症,,慢性支气管炎,疾病,
加替沙星片,西药,商品名,,悦博,西药,
加替沙星片,西药,不良反应,,斑丘疹,,
加替沙星片,西药,适应症,,支气管炎,疾病,
加替沙星片,西药,不良反应,,支气管痉挛,,
加替沙星片,西药,适应症,,气管炎,疾病,
加替沙星片,西药,分类,,氟喹诺酮,,
加替沙星片,西药,禁忌,,本品禁用于对加替沙星或喹诺酮类药物过敏者,,
加替沙星片,西药,分类,,氟喹诺酮类/氟喹诺酮,,
加替沙星片,西药,性状,,淡黄色片或薄膜衣片，除去包衣后显白色至微黄色,,
加替沙星片,西药,不良反应,,烦躁不安,,
加替沙星片,西药,适应症,,炎症,,
加替沙星片,西药,商品名,,澳莱克,西药,
加替沙星片,西药,OTC类型,,甲类OTC,,
加替沙星片,西药,适应症,,由敏感病原体所致的各种感染性疾病,,
加替沙星片,西药,不良反应,,白细胞减少,,
加替沙星片,西药,不良反应,,瘙瘁,,
加替沙星片,西药,禁忌,,糖尿病患者禁用,,
加替沙星片,西药,不良反应,,肌无力,,
加替沙星片,西药,不良反应,,紫绀,,
加替沙星片,西药,适应症,,肺炎,疾病,
加替沙星片,西药,不良反应,,胸痛,疾病,
加替沙星片,西药,不良反应,,胸骨下胸痛,,
加替沙星片,西药,不良反应,,腹泻,疾病,
加替沙星片,西药,不良反应,,过敏,,
加替沙星片,西药,商品名,,诺丽尔,西药,
加替沙星片,西药,不良反应,,震颤,,
加替沙星胶囊,西药,英文名称,,Gatifloxacin Capsules,,
加替沙星胶囊,西药,不良反应,,不能耐受酒精,,
加替沙星胶囊,西药,OTC类型,,乙类OTC,,
加替沙星胶囊,西药,分类,,其它呼吸系统用药,,
加替沙星胶囊,西药,药品监管分级,,口服常释剂型、注射剂为国家医保药物,,
加替沙星胶囊,西药,药品监管分级,,医保药品,,
加替沙星胶囊,西药,不良反应,,变态反应,,
加替沙星胶囊,西药,成份,,加替沙星,,
加替沙星胶囊,西药,用途分类,,合成抗菌药,,
加替沙星胶囊,西药,适应症,,变形杆菌,,
加替沙星胶囊,西药,不良反应,,发热,,
加替沙星胶囊,西药,不良反应,,呼吸困难,,
加替沙星胶囊,西药,不良反应,,味觉异常,,
加替沙星胶囊,西药,分类,,喹诺酮类,,
加替沙星胶囊,西药,不良反应,,呕吐,,
加替沙星胶囊,西药,不良反应,,哮喘,疾病,
加替沙星胶囊,西药,不良反应,,嗅觉倒错,,
加替沙星胶囊,西药,药品类型,,处方药,,
加替沙星胶囊,西药,不良反应,,味觉丧失,,
加替沙星胶囊,西药,药品监管分级,,国家基本用药； 医保药品,,
加替沙星胶囊,西药,不良反应,,寒战,,
加替沙星胶囊,西药,不良反应,,头痛,,
加替沙星胶囊,西药,适应症,,感染,疾病,
加替沙星胶囊,西药,不良反应,,心动过速,,
加替沙星胶囊,西药,不良反应,,念珠菌性口腔炎,,
加替沙星胶囊,西药,适应症,,慢性支气管炎,疾病,
加替沙星胶囊,西药,不良反应,,恶心,,
加替沙星胶囊,西药,不良反应,,惊厥,,
加替沙星胶囊,西药,适应症,,支气管炎,疾病,
加替沙星胶囊,西药,商品名,,敢诺新,西药,
加替沙星胶囊,西药,不良反应,,斑丘疹,,
加替沙星胶囊,西药,适应症,,敏感,,
加替沙星胶囊,西药,不良反应,,支气管痉挛,,
加替沙星胶囊,西药,禁忌,,本品禁用于对加替沙星或喹诺酮类药物过敏者,,
加替沙星胶囊,西药,适应症,,气管炎,疾病,
加替沙星胶囊,西药,分类,,氟喹诺酮类/氟喹诺酮,,
加替沙星胶囊,西药,商品名,,海超,西药,
加替沙星胶囊,西药,不良反应,,烦躁,,
加替沙星胶囊,西药,适应症,,炎症,,
加替沙星胶囊,西药,OTC类型,,甲类OTC,,
加替沙星胶囊,西药,适应症,,由敏感病原体所致的各种感染性疾病,,
加替沙星胶囊,西药,成份,,盐酸,,
加替沙星胶囊,西药,不良反应,,皮疹,疾病,
加替沙星胶囊,西药,商品名,,百科沙,西药,
加替沙星胶囊,西药,不良反应,,白细胞减少,,
加替沙星胶囊,西药,禁忌,,糖尿病患者禁用,,
加替沙星胶囊,西药,适应症,,细菌,,
加替沙星胶囊,西药,不良反应,,紫绀,,
加替沙星胶囊,西药,适应症,,肺炎,疾病,
加替沙星胶囊,西药,性状,,胶囊剂，内容物为白色或类白色颗粒,,
加替沙星胶囊,西药,不良反应,,胸痛,疾病,
加替沙星胶囊,西药,不良反应,,胸骨下胸痛,,
加替沙星胶囊,西药,适应症,,葡萄球菌,,
加替沙星胶囊,西药,不良反应,,过敏,,
加替沙星胶囊,西药,适应症,,金黄色葡萄球菌,,
加替沙星葡萄糖注射液,西药,规格,,100ml：加替沙星0.2g，葡萄糖5g,,
加替沙星葡萄糖注射液,西药,不良反应,,不能耐受酒精,,
加替沙星葡萄糖注射液,西药,商品名,,严克仙,西药,
加替沙星葡萄糖注射液,西药,OTC类型,,乙类OTC,,
加替沙星葡萄糖注射液,西药,英文名称,,Gatifloxacin and Glucose Injection,,
加替沙星葡萄糖注射液,西药,不良反应,,光敏,,
加替沙星葡萄糖注射液,西药,不良反应,,发热,,
加替沙星葡萄糖注射液,西药,不良反应,,变态反应,,
加替沙星葡萄糖注射液,西药,药品监管分级,,医保药品,,
加替沙星葡萄糖注射液,西药,成份,,加替沙星,,
加替沙星葡萄糖注射液,西药,适应症,,卡他莫拉菌或金黄色葡萄球菌所致,,
加替沙星葡萄糖注射液,西药,适应症,,变形杆菌,,
加替沙星葡萄糖注射液,西药,用途分类,,合成抗菌药,,
加替沙星葡萄糖注射液,西药,适应症,,副流感嗜血杆菌,,
加替沙星葡萄糖注射液,西药,分类,,喹诺酮类,,
加替沙星葡萄糖注射液,西药,不良反应,,哮喘,疾病,
加替沙星葡萄糖注射液,西药,药品类型,,处方药,,
加替沙星葡萄糖注射液,西药,不良反应,,呼吸困难,,
加替沙星葡萄糖注射液,西药,不良反应,,寒战,,
加替沙星葡萄糖注射液,西药,不良反应,,恶心,,
加替沙星葡萄糖注射液,西药,商品名,,悦博,西药,
加替沙星葡萄糖注射液,西药,不良反应,,恶心、呕吐,,
加替沙星葡萄糖注射液,西药,不良反应,,惊厥,,
加替沙星葡萄糖注射液,西药,适应症,,感染,疾病,
加替沙星葡萄糖注射液,西药,适应症,,慢性支气管炎,疾病,
加替沙星葡萄糖注射液,西药,不良反应,,敏感,,
加替沙星葡萄糖注射液,西药,不良反应,,支气管痉挛,,
加替沙星葡萄糖注射液,西药,适应症,,敏感,,
加替沙星葡萄糖注射液,西药,适应症,,支气管炎,疾病,
加替沙星葡萄糖注射液,西药,禁忌,,本品禁用于对加替沙星或喹诺酮类药物过敏者,,
加替沙星葡萄糖注射液,西药,适应症,,气管炎,疾病,
加替沙星葡萄糖注射液,西药,不良反应,,斑丘疹,,
加替沙星葡萄糖注射液,西药,性状,,淡黄绿色澄明液体,,
加替沙星葡萄糖注射液,西药,适应症,,流感嗜血杆菌,,
加替沙星葡萄糖注射液,西药,不良反应,,白细胞减少,,
加替沙星葡萄糖注射液,西药,不良反应,,粒细胞减少,,
加替沙星葡萄糖注射液,西药,不良反应,,紫绀,,
加替沙星葡萄糖注射液,西药,适应症,,细菌,,
加替沙星葡萄糖注射液,西药,适应症,,肺炎,疾病,
加替沙星葡萄糖注射液,西药,不良反应,,胸骨下胸痛,,
加替沙星葡萄糖注射液,西药,商品名,,艾尔嘉,西药,
加替沙星葡萄糖注射液,西药,不良反应,,胸痛,疾病,
加替沙星葡萄糖注射液,西药,适应症,,葡萄球菌,,
加替沙星葡萄糖注射液,西药,不良反应,,过敏,,
加替沙星葡萄糖注射液,西药,不良反应,,静脉炎,疾病,
加替沙星葡萄糖注射液,西药,适应症,,金黄色葡萄球菌,,
加立信,西药,适应症,,呼吸道感染,,
加立信,西药,不良反应,,嗜酸粒细胞增多,,
加立信,西药,不良反应,,支气管痉挛,,
加立信,西药,不良反应,,粒细胞减少,,
加立信,西药,分类,,糖肽类抗菌药,,
加立信,西药,不良反应,,皮疹,疾病,
加立信,西药,不良反应,,药物热,疾病,
加立信,西药,不良反应,,过敏反应,,
加罗宁,西药,不良反应,,呼吸抑制,,
加罗宁,西药,不良反应,,肺不张,疾病,
加罗宁,西药,不良反应,,胸痛,疾病,
加葵龙,西药,英文名称,,Gatifloxacin and Sodium Chloride Injection,,
加葵龙,西药,成份,,加替沙星,,
加葵龙,西药,不良反应,,呼吸困难,,
加葵龙,西药,分类,,喹诺酮类,,
加葵龙,西药,适应症,,支气管炎,疾病,
加葵龙,西药,不良反应,,支气管痉挛,,
加葵龙,西药,不良反应,,紫绀,,
加诺,西药,不良反应,,皮疹,疾病,
动脉听诊,诊疗技术及设备（治疗）,所属分类,,特殊检查,,
动脉听诊,诊疗技术及设备（治疗）,相关症状,,肺动脉杂音,,
动脉听诊,诊疗技术及设备（治疗）,相关症状,,肺动脉瓣狭窄杂音,,
动脉听诊,诊疗技术及设备（治疗）,相关症状,,肺动脉瓣区可听到喷射音,,
动脉血氧分压（PaO2）,诊疗技术及设备（治疗）,相关疾病,,呼吸衰竭,疾病,
动脉血氧分压（PaO2）,诊疗技术及设备（治疗）,相关症状,,呼吸异常,,
动脉血氧分压（PaO2）,诊疗技术及设备（治疗）,相关疾病,,哮喘,疾病,
动脉血氧分压（PaO2）,诊疗技术及设备（治疗）,相关疾病,,急性呼吸衰竭,,
动脉血氧分压（PaO2）,诊疗技术及设备（治疗）,相关疾病,,急性呼吸窘迫综合征,疾病,
动脉血氧分压（PaO2）,诊疗技术及设备（治疗）,相关疾病,,小儿肺水肿,疾病,
动脉血氧分压（PaO2）,诊疗技术及设备（治疗）,相关疾病,,肺栓塞,疾病,
动脉血氧分压（PaO2）,诊疗技术及设备（治疗）,相关疾病,,支气管扩张症,疾病,
动脉血氧分压（PaO2）,诊疗技术及设备（治疗）,相关疾病,,慢性呼吸衰竭,,
动脉血氧分压（PaO2）,诊疗技术及设备（治疗）,所属分类,,血,,
动脉血氧分压（PaO2）,诊疗技术及设备（治疗）,相关疾病,,放射性肺炎,疾病,
动脉血氧分压（PaO2）,诊疗技术及设备（治疗）,相关疾病,,肺气肿,疾病,
动脉血氧分压（PaO2）,诊疗技术及设备（治疗）,相关疾病,,肺炎,疾病,
动脉血氧分压（PaO2）,诊疗技术及设备（治疗）,相关疾病,,肺水肿,疾病,
动脉血氧分压（PaO2）,诊疗技术及设备（治疗）,相关疾病,,老年人急性呼吸窘迫综合征,,
动脉血氧分压（PaO2）,诊疗技术及设备（治疗）,相关疾病,,阻塞性肺气肿,疾病,
动静脉瘘定位试验,诊疗技术及设备（治疗）,相关疾病,,先天性肺动静脉瘘,疾病,
动静脉瘘定位试验,诊疗技术及设备（治疗）,相关疾病,,动静脉瘘,疾病,
动静脉瘘定位试验,诊疗技术及设备（治疗）,相关症状,,肺动静脉瘘,,
劲克,西药,英文名称,,Clarithromycin Capsules,,
劲克,西药,适应症,,呼吸道感染,,
劲克,西药,分类,,大环内酯类,,
劲克,西药,成份,,克拉霉素,,
劲克,西药,适应症,,支气管炎,疾病,
劳拉西泮片,西药,不良反应,,呼吸抑制,,
劳拉西泮片,西药,不良反应,,呼吸暂停,,
劳拉西泮片,西药,不良反应,,睡眠呼吸暂停恶化,,
劳麦纳,西药,不良反应,,呼吸困难,,
劳麦纳,西药,不良反应,,胸部压迫感,,
劳麦纳,西药,不良反应,,过敏反应,,
勃名,西药,不良反应,,呼吸困难,,
勃名,西药,英文名称,,Ceftezole Sodium for Injection,,
勃名,西药,不良反应,,咳嗽,,
勃名,西药,成份,,头孢替唑钠,,
勃名,西药,不良反应,,嗜酸粒细胞增多,,
勃名,西药,不良反应,,哮喘,疾病,
勃名,西药,通用名,,注射用头孢替唑钠,西药,
勃名,西药,不良反应,,粒细胞减少,,
勃名,西药,不良反应,,间质性肺炎,,
勒马回片,中成药,适应症,,咳嗽,,
勒马回片,中成药,功能主治,,咳嗽痰喘,,
勒马回片,中成药,功能主治,,止咳化痰,,
勒马回片,中成药,功能主治,,清热润肺,,
勒马回片,中成药,功能主治,,用于肺痨咳血,,
勤克沃,西药,英文名称,,Cefixime Capsules,,
勤克沃,西药,不良反应,,哮喘,疾病,
勤克沃,西药,不良反应,,咳嗽,,
勤克沃,西药,不良反应,,呼吸困难,,
勤克沃,西药,不良反应,,嗜酸性粒细胞增多,,
勤克沃,西药,不良反应,,发热,,
勤克沃,西药,适应症,,支气管炎,疾病,
勤克沃,西药,分类,,第三代头孢菌素,,
勤克沃,西药,适应症,,肺炎,疾病,
勤克沃,西药,不良反应,,肺炎,疾病,
勤克沃,西药,不良反应,,胸部X线异常,,
勤克沃,西药,不良反应,,间质性肺炎,,
勤克沃,西药,不良反应,,血管神经性水肿,,
勤可息,西药,不良反应,,咳嗽,,
勤可息,西药,不良反应,,白细胞减少,,
勤可息,西药,不良反应,,胸闷,,
包虫病补体结合试验,诊疗技术及设备（治疗）,相关疾病,,包虫病,,
包虫病补体结合试验,诊疗技术及设备（治疗）,相关疾病,,肺包虫病,,
包虫病补体结合试验,诊疗技术及设备（治疗）,相关疾病,,棘球蚴病,疾病,
化气兰,中草药,功能主治,,润肺止咳,,
化痰平喘片,中成药,分类,,中成药,,
化痰平喘片,中成药,OTC类型,,乙类OTC,,
化痰平喘片,中成药,适应症,,咳嗽,,
化痰平喘片,中成药,用法用量,,口服，一次4～6片，一日2次,,
化痰平喘片,中成药,成份,,南沙参,中草药,
化痰平喘片,中成药,英文名称,,HUA TAN PING CHUAN PIAN,,
化痰平喘片,中成药,英文名称,,Huatan Pingchuan Pian,,
化痰平喘片,中成药,英文名称,,Huatan Pianchuan Pian,,
化痰平喘片,中成药,性状,,味微苦,,
化痰平喘片,中成药,功能主治,,咳嗽痰多,,
化痰平喘片,中成药,成份,,化痰平喘成方南沙参,,
化痰平喘片,中成药,功能主治,,慢性气管炎,,
化痰平喘片,中成药,药品类型,,处方药,,
化痰平喘片,中成药,不良反应,,尚不明确,,
化痰平喘片,中成药,性状,,棕褐色的片,,
化痰平喘片,中成药,适应症,,气喘,,
化痰平喘片,中成药,规格,,无,,
化痰平喘片,中成药,成份,,浮海石,,
化痰平喘片,中成药,功能主治,,清热化痰,,
化痰平喘片,中成药,功能主治,,用于急,,
化痰平喘片,中成药,功能主治,,肺气肿,疾病,
化痰平喘片,中成药,功能主治,,止咳平喘,,
化痰平喘片,中成药,成份,,地龙,,
化痰平喘片,中成药,成份,,暴马子皮,,
化痰平喘片,中成药,OTC类型,,甲类OTC,,
化痰平喘片,中成药,成份,,百部,中草药,
化痰平喘片,中成药,功能主治,,胸满气喘,,
化痰消咳片,中成药,分类,,中成药,,
化痰消咳片,中成药,适应症,,呼吸道感染,,
化痰消咳片,中成药,适应症,,咳嗽,,
化痰消咳片,中成药,适应症,,上呼吸道感染,疾病,
化痰平喘片,中成药,成份,,黄芩,中草药,
化痰消咳片,中成药,适应症,,支气管炎,疾病,
化痰消咳片,中成药,OTC类型,,甲类OTC,,
化痰消咳片,中成药,成份,,紫花杜鹃,,
化痰消咳片,中成药,适应症,,气喘,,
化痰消咳片,中成药,成份,,鱼腥草素钠,,
化痰消咳片,中成药,成份,,鱼腥草,,
化痰片,西药,适应症,,支气管炎,疾病,
化痰片,西药,适应症,,哮喘,疾病,
化痰片,西药,药品监管分级,,国家基本用药； 医保药品,,
化痰片,西药,英文名称,,Carbocisteine Tablets,,
化痰片,西药,分类,,止咳祛痰和感冒药,,
化痰片,西药,OTC类型,,甲类OTC,,
化痰片,西药,通用名,,羧甲司坦片,西药,
化痰片,西药,成份,,羧甲司坦,,
化脓性肉芽肿,疾病,同义词,,毛细血管扩张性肉芽肿,,
化脓性链球菌咽炎,疾病,发病部位,,喉,,
北京万生,西药,不良反应,,咳嗽,,
北京万生,西药,不良反应,,胸痛,疾病,
北京万生,西药,不良反应,,血管性水肿,疾病,
北豆根胶囊,中成药,适应症,,支气管炎,疾病,
匹多莫德分散片,西药,适应症,,下呼吸道感染,,
匹多莫德分散片,西药,适应症,,呼吸道感染,,
匹多莫德口服液,西药,适应症,,支气管炎,疾病,
匹多莫德口服溶液,西药,适应症,,支气管炎,疾病,
匹多莫德散,西药,适应症,,支气管炎,疾病,
匹多莫德片,西药,适应症,,呼吸道感染,,
匹多莫德胶囊,西药,适应症,,呼吸道感染,,
匹多莫德片,西药,适应症,,支气管炎,疾病,
匹多莫德颗粒剂,西药,适应症,,支气管炎,疾病,
匹律,西药,英文名称,,Isoniazid Rifampicin and Pyrazinamide Tablets,,
匹律,西药,成份,,吡嗪酰胺,,
匹律,西药,成份,,吡嗪酰胺0.25克,,
匹律,西药,不良反应,,嗜中性粒细胞减少,,
匹律,西药,不良反应,,嗜酸性粒细胞增多,,
匹律,西药,分类,,抗结核病药,,
匹律,西药,不良反应,,气短,,
匹律,西药,不良反应,,气喘,,
匹律,西药,不良反应,,痰和泪液变成红色,,
匹金,西药,英文名称,,Isoniazid and Rifampicin Tablets,,
匹金,西药,分类,,抗结核病药,,
匹金,西药,不良反应,,嗜酸性粒细胞增多,,
匹金,西药,不良反应,,气喘,,
匹金,西药,不良反应,,痰和泪液变成红色,,
区明,西药,不良反应,,皮疹,疾病,
医源性气管及主支气管损伤,疾病,症状,,出血,疾病,
医源性气管及主支气管损伤,疾病,症状,,喘鸣等,,
