source,source_type,relation,sub_relation,target,target_type,source_table
goodpasture综合征,疾病,英文名称,,Goodpasture syndrome,,
goodpasture综合征,疾病,就诊科室,,内科,,
goodpasture综合征,疾病,症状,,反复咯血,,
goodpasture综合征,疾病,并发症,,可致,,
goodpasture综合征,疾病,并发症,,呼吸衰竭,疾病,
goodpasture综合征,疾病,并发症,,毒综合征肺的出血,,
goodpasture综合征,疾病,症状,,咯血,疾病,
goodpasture综合征,疾病,并发症,,窒息,,
goodpasture综合征,疾病,检查,,肺活检,,
goodpasture综合征,疾病,检查,,气管镜检查,,
Goodpasture综合征,疾病,实验室检查,,抗肾小球基底膜（GBM）抗体,,
goodpasture综合征,疾病,同义词,,肺出血—肾炎综合征,,
goodpasture综合征,疾病,检查,,肾活检,,
goodpasture综合征,疾病,检查,,血清学检查,,
HCO3—重吸收试验,诊疗技术及设备（治疗）,相关疾病,,代谢性碱中毒,疾病,
HCO3—重吸收试验,诊疗技术及设备（治疗）,相关疾病,,酸中毒,,
HIV相关呼吸道感染,疾病,症状,,呼吸困难,,
HIV相关呼吸道感染,疾病,症状,,呼吸困难等,,
HIV相关呼吸道感染,疾病,发病部位,,呼吸道,,
HIV相关呼吸道感染,疾病,多发群体,,HIV患者,,
HIV相关呼吸道感染,疾病,症状,,咳嗽,,
HIV相关呼吸道感染,疾病,症状,,干咳,,
HIV相关呼吸道感染,疾病,就诊科室,,呼吸内科,,
HIV相关呼吸道感染,疾病,症状,,肺炎,疾病,
HUGHES—STOVIN综合征,疾病,症状,,咯血,疾病,
HUGHES—STOVIN综合征,疾病,同义词,,肺动脉栓塞综合征,,
HUGHES—STOVIN综合征,疾病,发病部位,,肺动脉,,
Inj.FDP,西药,不良反应,,过敏性休克,疾病,
I型超敏反应性疾病,疾病,症状,,呼吸困难,,
I型超敏反应性疾病,疾病,症状,,哮喘,疾病,
I型超敏反应性疾病,疾病,症状,,支气管哮喘,疾病,
I型超敏反应性疾病,疾病,治疗,,回避疗法,,
I型超敏反应性疾病,疾病,检查,,特异性试验,,
I型超敏反应性疾病,疾病,治疗,,过敏原的免疫治疗,,
I型超敏反应性疾病,疾病,症状,,胸闷,,
I型超敏反应性疾病,疾病,多发群体,,患特应性疾病的患者,,
I型超敏反应性疾病,疾病,病因,,由IgE抗体介导的超敏反应,,
