head,head_type,relation,tail,tail_type,source
上腔静脉受压综合征,疾病,临床表现,咳嗽,症状,medical_kg
上腔静脉受压综合征,疾病,临床表现,"急性或亚急性呼吸困难,面颈肿胀,咳嗽,头痛头胀,恶心",症状,medical_kg
上腔静脉受压综合征,疾病,病因,"血栓形成纤维化,外部压迫,肿瘤侵犯",病原体,medical_kg
上腔静脉综合征,疾病,病因,上腔静脉血栓形成,病原体,medical_kg
上腔静脉综合征,疾病,同义词,上腔静脉阻塞综合征,疾病,medical_kg
上腔静脉综合征,疾病,临床表现,上肢和面部水肿,症状,medical_kg
上腔静脉综合征,疾病,诊断依据,上腔静脉造影,检查,medical_kg
上腔静脉受压综合征,疾病,临床表现,声嘶,症状,medical_kg
上腔静脉综合征,疾病,临床表现,呼吸困难,症状,medical_kg
上腔静脉综合征,疾病,病因,恶性肿瘤侵犯或压迫上腔静脉,病原体,medical_kg
上腔静脉综合征,疾病,临床表现,声音嘶哑,症状,medical_kg
上腔静脉综合征,疾病,病因,纵隔的原发的或转移性肿瘤,病原体,medical_kg
上腔静脉综合征,疾病,临床表现,颈部和胸壁静脉扩张,症状,medical_kg
不动杆菌感染,疾病,病因,不动杆菌,病原体,medical_kg
不动杆菌感染,疾病,英文名称,acinetobacter infection,药物,medical_kg
不动杆菌感染,疾病,所属科室,内科,科室,medical_kg
不动杆菌感染,疾病,临床表现,休克,疾病,medical_kg
不动杆菌感染,疾病,临床表现,发热,症状,medical_kg
不动杆菌感染,疾病,诊断依据,a49.8,检查,medical_kg
不动杆菌感染,疾病,临床表现,咳嗽,症状,medical_kg
不动杆菌感染,疾病,临床表现,呼吸道感染,症状,medical_kg
不动杆菌感染,疾病,临床表现,感染,疾病,medical_kg
不动杆菌感染,疾病,临床表现,气急,症状,medical_kg
不动杆菌感染,疾病,临床表现,发绀,症状,medical_kg
不动杆菌感染,疾病,上位关系,未特指部位的细菌性感染,疾病,medical_kg
不动杆菌感染,疾病,临床表现,渗出,症状,medical_kg
不动杆菌感染,疾病,临床表现,胸痛,疾病,medical_kg
不动杆菌感染,疾病,临床表现,肺炎,疾病,medical_kg
不动杆菌肺炎,疾病,临床表现,发绀,症状,medical_kg
不动杆菌肺炎,疾病,病因,不动杆菌院内感染所致,病原体,medical_kg
不动杆菌肺炎,疾病,所属科室,呼吸内科,科室,medical_kg
不动杆菌肺炎,疾病,诊断依据,实验室检查,检查,medical_kg
不动杆菌肺炎,疾病,临床表现,呼吸困难,症状,medical_kg
不动杆菌肺炎,疾病,临床表现,咳嗽剧烈,症状,medical_kg
不动杆菌肺炎,疾病,临床表现,咳嗽,症状,medical_kg
不动杆菌肺炎,疾病,传播途径,呼吸机管道等传播,流行病学,medical_kg
不动杆菌肺炎,疾病,临床表现,胸腔积液,疾病,medical_kg
不动杆菌肺炎,疾病,临床表现,寒战,症状,medical_kg
不动杆菌肺炎,疾病,传播途径,湿化瓶,流行病学,medical_kg
不动杆菌肺炎,疾病,临床表现,痰黏稠,症状,medical_kg
不动杆菌肺炎,疾病,临床表现,气促,症状,medical_kg
不动杆菌肺炎,疾病,传播途径,有,流行病学,medical_kg
不动杆菌肺炎,疾病,临床表现,畏食,症状,medical_kg
不动杆菌肺炎,疾病,临床表现,恶心,症状,medical_kg
不动杆菌肺炎,疾病,临床表现,脓胸,疾病,medical_kg
不动杆菌肺炎,疾病,临床表现,败血症,疾病,medical_kg
不动杆菌肺炎,疾病,临床表现,感染,疾病,medical_kg
不动杆菌肺炎,疾病,传播途径,面罩,流行病学,medical_kg
不动杆菌肺炎,疾病,传播途径,通过呼吸道人工管道和雾化器,流行病学,medical_kg
不动杆菌肺炎,疾病,临床表现,高热,症状,medical_kg
不动杆菌肺炎,疾病,易感人群,长期住院或机体抵抗力降低患者,流行病学,medical_kg
世保扶,西药,不良反应,休克,疾病,medical_kg
世保扶,西药,英文名称,sparfloxacin tablets,药物,medical_kg
世保扶,西药,不良反应,呼吸困难,症状,medical_kg
世保扶,西药,成份,司帕沙星,药物,medical_kg
世保扶,西药,不良反应,嗜酸性粒细胞增多,症状,medical_kg
世保扶,西药,不良反应,发热,症状,medical_kg
世保扶,西药,适应症,支气管炎,疾病,medical_kg
世保扶,西药,分类,氟喹诺酮类,其他治疗,medical_kg
世保扶,西药,不良反应,声音嘶哑,症状,medical_kg
世保扶,西药,不良反应,浮肿,症状,medical_kg
世保扶,西药,不良反应,肺炎,疾病,medical_kg
世保扶,西药,适应症,肺炎,疾病,medical_kg
世保扶,西药,不良反应,过敏反应,症状,medical_kg
世保扶,西药,不良反应,过敏,症状,medical_kg
世保扶,西药,不良反应,间质性肺炎,症状,medical_kg
世扶尼,西药,不良反应,咳嗽,症状,medical_kg
世扶尼,西药,不良反应,嗜酸细胞增多,症状,medical_kg
世扶尼,西药,不良反应,呼吸困难,症状,medical_kg
世扶尼,西药,不良反应,喘鸣,症状,medical_kg
世扶尼,西药,成份,头孢地尼,药物,medical_kg
世扶尼,西药,适应症,支气管炎,疾病,medical_kg
世扶尼,西药,不良反应,肺炎,疾病,medical_kg
世扶尼,西药,分类,第三代头孢菌素,其他治疗,medical_kg
世扶尼,西药,适应症,肺炎,疾病,medical_kg
世扶尼,西药,不良反应,胸闷,症状,medical_kg
世扶尼,西药,不良反应,胸部压迫感,症状,medical_kg
世扶尼,西药,不良反应,胸部x线异常,症状,medical_kg
世扶尼,西药,不良反应,间质性肺炎,症状,medical_kg
世普欢,西药,适应症,呼吸道感染,疾病,medical_kg
世普欢,西药,成份,乳酸环丙沙星,药物,medical_kg
世普欢,西药,分类,氟喹诺酮类/抗感染药/氟喹诺酮,其他治疗,medical_kg
世普欢,西药,不良反应,血管神经性水肿,症状,medical_kg
世福素,西药,不良反应,咳嗽,症状,medical_kg
世福素,西药,不良反应,哮喘,疾病,medical_kg
世福素,西药,不良反应,嗜酸性粒细胞增多,症状,medical_kg
世福素,西药,不良反应,呼吸困难,症状,medical_kg
世福素,西药,不良反应,嗜酸细胞增多,症状,medical_kg
世福素,西药,适应症,支气管炎,疾病,medical_kg
世福素,西药,分类,第三代头孢菌素,其他治疗,medical_kg
世福素,西药,不良反应,肺炎,疾病,medical_kg
世福素,西药,适应症,肺炎,疾病,medical_kg
世福素,西药,不良反应,胸部x线异常,症状,medical_kg
世福素,西药,不良反应,胸部烧灼感,症状,medical_kg
世福素,西药,不良反应,血管性水肿,疾病,medical_kg
世福素,西药,不良反应,血管神经性水肿,症状,medical_kg
丘疹坏死性结核疹,疾病,同义词,丘疹坏死性结核,疾病,medical_kg
世福素,西药,不良反应,间质性肺炎,症状,medical_kg
丘疹坏死性结核疹,疾病,病因,结核分枝杆菌感染,病原体,medical_kg
丙戊酸钠口服溶液,西药,不良反应,血管性水肿,疾病,medical_kg
丙戊酸钠缓释片,西药,不良反应,血管性水肿,疾病,medical_kg
丙氨酰谷氨酰胺注射液,西药,成份,100ml：20g,药物,medical_kg
丙氨酰谷氨酰胺注射液,西药,成份,丙氨酰谷氨酰胺,药物,medical_kg
丙泊酚中长链脂肪乳注射液,西药,不良反应,呼吸抑制,症状,medical_kg
丙泊酚中长链脂肪乳注射液,西药,不良反应,呼吸暂停,症状,medical_kg
丙泊酚中长链脂肪乳注射液,西药,不良反应,支气管痉挛,症状,medical_kg
丙泊酚中长链脂肪乳注射液,西药,不良反应,短暂的呼吸暂停,症状,medical_kg
丙泊酚中长链脂肪乳注射液,西药,不良反应,肺水肿,疾病,medical_kg
丙泊酚注射液,西药,成份,丙泊酚,药物,medical_kg
丙泊酚注射液,西药,适应症,加强监护病人接受机械通气时的镇静,疾病,medical_kg
丙泊酚注射液,西药,不良反应,呼吸暂停,症状,medical_kg
丙泊酚注射液,西药,不良反应,支气管痉挛,症状,medical_kg
丙泊酚注射液,西药,不良反应,咳嗽,症状,medical_kg
丙泊酚注射液,西药,不良反应,肺水肿,疾病,medical_kg
丙硫异烟胺片,西药,分类,抗结核病药,其他治疗,medical_kg
丙硫异烟胺片,西药,适应症,抗结核病药,疾病,medical_kg
丙硫异烟胺片,西药,适应症,结核病,疾病,medical_kg
丙硫异烟胺肠溶片,西药,分类,抗结核病药,其他治疗,medical_kg
丙硫异烟胺肠溶片,西药,适应症,抗结核病药,疾病,medical_kg
丙硫异烟胺肠溶片,西药,适应症,结核病,疾病,medical_kg
丙硫氧嘧啶片,西药,不良反应,间质性肺炎,症状,medical_kg
丙硫氧嘧啶肠溶片,西药,不良反应,咳嗽,症状,medical_kg
丙硫氧嘧啶肠溶片,西药,不良反应,气促,症状,medical_kg
丙硫氧嘧啶肠溶片,西药,不良反应,间质性肺炎,症状,medical_kg
丙硫氧嘧啶肠溶胶囊,西药,不良反应,咳嗽,症状,medical_kg
丙硫氧嘧啶肠溶胶囊,西药,不良反应,气促,症状,medical_kg
丙硫氧嘧啶肠溶胶囊,西药,不良反应,间质性肺炎,症状,medical_kg
丙酸交沙霉素干糖浆,西药,分类,大环内酯类,其他治疗,medical_kg
丙酸交沙霉素干糖浆,西药,适应症,肺炎,疾病,medical_kg
丙酸交沙霉素干糖浆,西药,适应症,支气管炎,疾病,medical_kg
丙酸交沙霉素颗粒,西药,成份,丙酸交沙霉素,药物,medical_kg
丙酸交沙霉素颗粒,西药,不良反应,嗜酸性粒细胞增多,症状,medical_kg
丙酸交沙霉素颗粒,西药,分类,大环内酯类,其他治疗,medical_kg
丙酸交沙霉素颗粒,西药,适应症,肺炎,疾病,medical_kg
丙酸交沙霉素颗粒,西药,适应症,支气管炎,疾病,medical_kg
丙酸交沙霉素颗粒,西药,不良反应,过敏反应,症状,medical_kg
丙酸倍氯米松气雾剂,西药,成份,丙酸倍氯米松,药物,medical_kg
丙酸倍氯米松气雾剂,西药,英文名称,beclometasone dipropionate aerosol,药物,medical_kg
丙酸倍氯米松气雾剂,西药,不良反应,变态反应,症状,medical_kg
丙酸倍氯米松气雾剂,西药,药品分类,乙类otc,其他治疗,medical_kg
丙酸倍氯米松气雾剂,西药,英文名称,bedometasone dipropionate aerosol,药物,medical_kg
丙酸倍氯米松气雾剂,西药,不良反应,刺激,症状,medical_kg
丙酸倍氯米松气雾剂,西药,药品监管分级,国家基本用药； 医保药品,其他治疗,medical_kg
丙酸倍氯米松气雾剂,西药,英文名称,beclomethasone dipropionate aerosol,药物,medical_kg
丙酸倍氯米松气雾剂,西药,不良反应,刺激感,症状,medical_kg
丙酸倍氯米松气雾剂,西药,适应症,哮喘,疾病,medical_kg
丙酸倍氯米松气雾剂,西药,不良反应,出血,疾病,medical_kg
丙酸倍氯米松气雾剂,西药,不良反应,咽部干燥或烧灼感,症状,medical_kg
丙酸倍氯米松气雾剂,西药,不良反应,口干,疾病,medical_kg
丙酸倍氯米松气雾剂,西药,不良反应,喷嚏,症状,medical_kg
丙酸倍氯米松气雾剂,西药,不良反应,干燥,症状,medical_kg
丙酸倍氯米松气雾剂,西药,药品监管分级,外用软膏、吸入剂为国家医保药物,其他治疗,medical_kg
丙酸倍氯米松气雾剂,西药,商品名,必可酮,西药,medical_kg
丙酸倍氯米松气雾剂,西药,药品分类,甲类otc,其他治疗,medical_kg
丙酸倍氯米松气雾剂,西药,不良反应,烧灼感,症状,medical_kg
丙酸倍氯米松气雾剂,西药,分类,糖皮质类激素类,其他治疗,medical_kg
丙酸倍氯米松气雾剂,西药,不良反应,皮疹,疾病,medical_kg
丙酸倍氯米松气雾剂,西药,分类,平喘药及慢阻肺用药,其他治疗,medical_kg
丙酸倍氯米松气雾剂,西药,不良反应,感染,疾病,medical_kg
丙酸倍氯米松气雾剂,西药,适应症,过敏,疾病,medical_kg
丙酸倍氯米松气雾剂,西药,不良反应,鼻出血,症状,medical_kg
丙酸倍氯米松粉雾剂,西药,不良反应,声音嘶哑,症状,medical_kg
丙酸倍氯米松粉雾剂,西药,不良反应,不适,症状,medical_kg
丙酸倍氯米松粉雾剂,西药,不良反应,感染,疾病,medical_kg
丙酸倍氯米松粉雾剂,西药,成份,丙酸倍氯米松,药物,medical_kg
丙酸倍氯米松粉雾剂,西药,药品分类,甲类otc,其他治疗,medical_kg
丙酸倍氯米松粉雾剂,西药,适应症,哮喘,疾病,medical_kg
丙酸倍氯米松粉雾剂,西药,英文名称,beclomethasonedipropionatepowderinhalation,药物,medical_kg
丙酸倍氯米松粉雾剂,西药,商品名,贝可乐,西药,medical_kg
丙酸倍氯米松粉雾剂,西药,成份,分散剂,药物,medical_kg
丙酸氟替卡松吸入气雾剂,西药,适应症,哮喘,疾病,medical_kg
丙酸氟替卡松吸入气雾剂,西药,不良反应,呼吸困难,症状,medical_kg
丙酸氟替卡松吸入气雾剂,西药,不良反应,感染,疾病,medical_kg
丙酸氟替卡松吸入气雾剂,西药,不良反应,喘鸣,症状,medical_kg
丙酸氟替卡松吸入气雾剂,西药,不良反应,亢进,症状,medical_kg
丙酸氟替卡松吸入气雾剂,西药,不良反应,常见,症状,medical_kg
丙酸氟替卡松吸入气雾剂,西药,药品分类,乙类otc,其他治疗,medical_kg
丙酸氟替卡松吸入气雾剂,西药,不良反应,支气管痉挛,症状,medical_kg
丙酸氟替卡松吸入气雾剂,西药,不良反应,关节痛,症状,medical_kg
丙酸氟替卡松吸入气雾剂,西药,英文名称,fluticasone propionate inhaled aerosol,药物,medical_kg
丙酸氟替卡松吸入气雾剂,西药,不良反应,痉挛,症状,medical_kg
丙酸氟替卡松吸入气雾剂,西药,不良反应,念珠菌病,疾病,medical_kg
丙酸氟替卡松吸入气雾剂,西药,不良反应,过敏,症状,medical_kg
丙酸氟替卡松吸入气雾剂,西药,不良反应,消化不良,症状,medical_kg
丙酸氟替卡松吸入气雾剂,西药,不良反应,睡眠紊乱,症状,medical_kg
丙酸氟替卡松吸入气雾剂,西药,不良反应,易激惹,症状,medical_kg
丙酸氟替卡松吸入气雾剂,西药,商品名,辅舒酮,西药,medical_kg
丙酸氟替卡松吸入气雾剂,西药,不良反应,过敏反应,症状,medical_kg
丙酸氟替卡松吸入气雾剂,西药,不良反应,过敏样反应,症状,medical_kg
丙酸氟替卡松鼻喷雾剂,西药,不良反应,支气管痉挛,症状,medical_kg
业立宁,西药,不良反应,过敏反应,症状,medical_kg
东山感冒片,中成药,适应症,咳嗽,疾病,medical_kg
东日,西药,成份,氨茶碱,药物,medical_kg
东日,西药,适应症,支气管炎,疾病,medical_kg
东日,西药,适应症,肺水肿,疾病,medical_kg
东日,西药,成份,盐酸溴己新,药物,medical_kg
东日,西药,成份,茶碱,药物,medical_kg
东易,西药,不良反应,支气管痉挛,症状,medical_kg
东易,西药,不良反应,白细胞减少,症状,medical_kg
东梅止咳颗粒,中成药,适应症,咳嗽多痰,疾病,medical_kg
东梅止咳颗粒,中成药,用法用量,开水冲服，一次11g，一日1～2次,其他治疗,medical_kg
东梅止咳颗粒,中成药,适应症,止咳,疾病,medical_kg
东梅止咳颗粒,中成药,适应症,支气管炎,疾病,medical_kg
东梅止咳颗粒,中成药,成份,棕黄色至棕褐色的颗粒,药物,medical_kg
东梅止咳颗粒,中成药,成份,枇杷叶,药物,medical_kg
东梅止咳颗粒,中成药,适应症,祛痰,疾病,medical_kg
东港天乐,西药,不良反应,呼吸困难,症状,medical_kg
东药,西药,不良反应,呼吸短促,症状,medical_kg
东药,西药,不良反应,呼吸困难,症状,medical_kg
东莨菪碱贴片,西药,适应症,m受体阻断药,疾病,medical_kg
东菱美松,西药,不良反应,呼吸困难,症状,medical_kg
东菱美松,西药,英文名称,dexamethasone palmitate injection,药物,medical_kg
东菱美松,西药,分类,糖皮质激素类,其他治疗,medical_kg
东菱美松,西药,成份,地塞米松棕榈酸酯,药物,medical_kg
东菱迪芙,西药,适应症,肺栓塞,疾病,medical_kg
东菱迪芙,西药,不良反应,胸痛,疾病,medical_kg
东风橘,中草药,适应症,化痰止咳,疾病,medical_kg
丝瓜子,中草药,适应症,肺热咳嗽,疾病,medical_kg
严克仙,西药,成份,加替沙星葡萄糖注射液,西药,medical_kg
严克仙,西药,分类,喹诺酮类,其他治疗,medical_kg
严克仙,西药,英文名称,gatifloxacin and glucose injection,药物,medical_kg
严克仙,西药,成份,加替沙星,药物,medical_kg
严克仙,西药,适应症,支气管炎,疾病,medical_kg
严克仙,西药,适应症,肺炎,疾病,medical_kg
严力达,西药,分类,喹诺酮类,其他治疗,medical_kg
严力达,西药,适应症,支气管炎,疾病,medical_kg
严力达,西药,成份,氟罗沙星,药物,medical_kg
严力达,西药,适应症,肺炎,疾病,medical_kg
严力达,西药,不良反应,血管神经性水肿,症状,medical_kg
严宁,西药,分类,氟喹诺酮类/氟喹诺酮,其他治疗,medical_kg
严宁,西药,成份,左氧氟沙星,药物,medical_kg
严宁,西药,成份,盐酸左氧氟沙星胶囊,西药,medical_kg
严宁,西药,适应症,支气管炎,疾病,medical_kg
严宁,西药,成份,盐酸左氧氟沙星,药物,medical_kg
严宁,西药,适应症,肺炎,疾病,medical_kg
严宁,西药,不良反应,肌无力,症状,medical_kg
严宁,西药,不良反应,超敏反应,症状,medical_kg
严新,西药,不良反应,药热,症状,medical_kg
严迪,西药,英文名称,roxithromycin dispersible tablets,药物,medical_kg
严迪,西药,分类,大环内酯类,其他治疗,medical_kg
严迪,西药,适应症,支气管炎,疾病,medical_kg
严迪,西药,适应症,肺炎,疾病,medical_kg
严迪,西药,不良反应,皮疹,疾病,medical_kg
严迪,西药,不良反应,皮肤瘙痒,症状,medical_kg
严迪,西药,成份,罗红霉素,药物,medical_kg
中长链脂肪乳注射液,西药,不良反应,呼吸困难,症状,medical_kg
中长链脂肪乳注射液,西药,不良反应,发绀,症状,medical_kg
中长链脂肪乳注射液c624,西药,不良反应,呼吸困难,症状,medical_kg
中长链脂肪乳注射液c624,西药,不良反应,呕吐呼吸困难头痛,症状,medical_kg
中长链脂肪乳注射液c624,西药,不良反应,发绀,症状,medical_kg
中长链脂肪乳注射液c824,西药,不良反应,发绀,症状,medical_kg
中长链脂肪乳注射液c824,西药,不良反应,呼吸困难,症状,medical_kg
中长链脂肪乳注射液c8～24,西药,不良反应,呼吸困难,症状,medical_kg
中长链脂肪乳注射液c8～24,西药,不良反应,发绀,症状,medical_kg
中长链脂肪乳注射液c8～24,西药,不良反应,气促,症状,medical_kg
中长链脂肪乳注射液c8～24,西药,不良反应,胸痛,疾病,medical_kg
中东呼吸综合征,疾病,英文名称,middle east respiratory syndrome,药物,medical_kg
中东呼吸综合征,疾病,上位关系,"传染性病原体引起的肺炎,不可归类在他处者",疾病,medical_kg
中东呼吸综合征,疾病,英文名称,mers,药物,medical_kg
中东呼吸综合征,疾病,临床表现,发热,症状,medical_kg
中东呼吸综合征,疾病,临床表现,咳嗽,症状,medical_kg
中东呼吸综合征,疾病,所属科室,呼吸科,科室,medical_kg
中东呼吸综合征,疾病,诊断依据,j16.8,检查,medical_kg
中东呼吸综合征,疾病,临床表现,呕吐,症状,medical_kg
中东呼吸综合征,疾病,临床表现,寒战,症状,medical_kg
中东呼吸综合征,疾病,病因,新型冠状病毒感染引起,病原体,medical_kg
中东呼吸综合征,疾病,临床表现,发热伴畏寒寒战,症状,medical_kg
中东呼吸综合征,疾病,传播途径,有,流行病学,medical_kg
中东呼吸综合征,疾病,传播途径,密切接触,流行病学,medical_kg
中东呼吸综合征,疾病,临床表现,恶心,症状,medical_kg
中东呼吸综合征,疾病,临床表现,气短,症状,medical_kg
中东呼吸综合征,疾病,临床表现,恶心呕吐,症状,medical_kg
中东呼吸综合征,疾病,临床表现,肌肉酸痛,症状,medical_kg
中东呼吸综合征,疾病,临床表现,腹泻,疾病,medical_kg
中佳太,西药,不良反应,呼吸困难,症状,medical_kg
中叶综合征,疾病,同义词,brock综合征或graham—burford—mayer综合征,疾病,medical_kg
中叶综合征,疾病,临床表现,咳痰,症状,medical_kg
中叶综合征,疾病,临床表现,咯血,疾病,medical_kg
中叶综合征,疾病,临床表现,发热,症状,medical_kg
中叶综合征,疾病,临床表现,反复咳嗽,症状,medical_kg
中叶综合征,疾病,临床表现,咳嗽,症状,medical_kg
中叶综合征,疾病,英文名称,middle lobe syndrome,药物,medical_kg
中叶综合征,疾病,病因,原发性或转移性淋巴瘤肿大压迫等,病原体,medical_kg
中叶综合征,疾病,诊断依据,实验室检查,检查,medical_kg
中叶综合征,疾病,发病部位,支气管,部位,medical_kg
中叶综合征,疾病,临床表现,胸痛,疾病,medical_kg
中叶综合征,疾病,临床表现,气促,症状,medical_kg
中叶综合征,疾病,临床表现,肺部可闻及湿啰音,症状,medical_kg
中叶综合征,疾病,临床表现,胸闷,症状,medical_kg
中叶综合征,疾病,临床表现,疲劳,症状,medical_kg
中叶综合征,疾病,所属科室,胸外科,科室,medical_kg
中叶综合征,疾病,临床表现,有时伴咯血或发热,症状,medical_kg
中叶综合征,疾病,病因,非特异性炎症或结核性淋巴结肿大压迫,病原体,medical_kg
中宝伊格,西药,成份,格拉司琼,药物,medical_kg
中宝叶宁,西药,不良反应,胸闷,症状,medical_kg
中宝奇力,西药,英文名称,azithromycin and glucose injection,药物,medical_kg
中宝奇力,西药,不良反应,呼吸困难,症状,medical_kg
中宝奇力,西药,分类,大环内酯类,其他治疗,medical_kg
中宝奇力,西药,不良反应,支气管痉挛,症状,medical_kg
中宝奇力,西药,成份,阿奇霉素葡萄糖注射液,西药,medical_kg
中宝洛泰,西药,适应症,呼吸道感染,疾病,medical_kg
中宝洛泰,西药,分类,喹诺酮类,其他治疗,medical_kg
中宝奇力,西药,成份,阿奇霉素,药物,medical_kg
中宝洛泰,西药,适应症,支气管炎,疾病,medical_kg
中宝洛泰,西药,适应症,肺炎,疾病,medical_kg
中宝洛泰,西药,成份,盐酸洛美沙星,药物,medical_kg
中宝洛泰,西药,不良反应,胸闷,症状,medical_kg
中宝索迪,西药,英文名称,doxofylline and glucose injection,药物,medical_kg
中宝索迪,西药,适应症,哮喘,疾病,medical_kg
中宝索迪,西药,成份,多索茶碱葡萄糖注射液,西药,medical_kg
中宝索迪,西药,不良反应,呼吸急促,症状,medical_kg
中宝索迪,西药,成份,多索茶碱,药物,medical_kg
中宝索迪,西药,适应症,支气管炎,疾病,medical_kg
中宝索迪,西药,成份,茶碱,药物,medical_kg
中宝索迪,西药,适应症,支气管痉挛,疾病,medical_kg
中性粒细胞减少性发热,疾病,治疗,抗生素治疗,药物,medical_kg
中毒,疾病,临床表现,胸闷,症状,medical_kg
中畅,西药,英文名称,fudosteine tablets,药物,medical_kg
中畅,西药,适应症,哮喘,疾病,medical_kg
中畅,西药,适应症,支气管炎,疾病,medical_kg
中畅,西药,分类,祛痰药,其他治疗,medical_kg
中畅,西药,不良反应,胸闷,症状,medical_kg
中畅,西药,适应症,肺炎,疾病,medical_kg
中畅,西药,成份,福多司坦,药物,medical_kg
中诺克奇,西药,适应症,呼吸道感染,疾病,medical_kg
中诺克奇,西药,分类,青霉素类,其他治疗,medical_kg
中诺克奇,西药,不良反应,过敏性休克,疾病,medical_kg
中诺克林,西药,适应症,呼吸道感染,疾病,medical_kg
中诺克林,西药,不良反应,哮喘,疾病,medical_kg
中诺克林,西药,不良反应,嗜酸性粒细胞增多,症状,medical_kg
中诺克林,西药,成份,注射用阿莫西林钠克拉维酸钾,西药,medical_kg
中诺克林,西药,适应症,支气管炎,疾病,medical_kg
中诺克林,西药,适应症,肺炎,疾病,medical_kg
中诺克迪,西药,适应症,呼吸道感染,疾病,medical_kg
中诺克林,西药,不良反应,过敏性休克,疾病,medical_kg
中诺克林,西药,分类,青霉素类,其他治疗,medical_kg
中诺克迪,西药,不良反应,嗜酸粒细胞增多,症状,medical_kg
中诺克迪,西药,成份,注射用头孢哌酮钠舒巴坦钠,西药,medical_kg
中诺克迪,西药,成份,头孢哌酮钠,药物,medical_kg
中诺克迪,西药,分类,第三代头孢菌素,其他治疗,medical_kg
中诺克迪,西药,适应症,肺炎,疾病,medical_kg
中诺奇奥,西药,适应症,呼吸道感染,疾病,medical_kg
中诺奇奥,西药,英文名称,ceftazidime for injection,药物,medical_kg
中诺奇奥,西药,成份,注射用头孢他啶,西药,medical_kg
中诺奇奥,西药,不良反应,嗜酸性粒细胞增多,症状,medical_kg
中诺克迪,西药,成份,舒巴坦钠,药物,medical_kg
中诺奇奥,西药,成份,头孢他啶,药物,medical_kg
中诺奇奥,西药,不良反应,支气管痉挛,症状,medical_kg
中诺奇奥,西药,不良反应,血管神经性水肿,症状,medical_kg
中长链脂肪乳注射液c6～24,西药,不良反应,呼吸困难,症状,medical_kg
中长链脂肪乳注射液c6～24,西药,不良反应,发绀,症状,medical_kg
中长链脂肪乳注射液c6～24,西药,不良反应,胸痛,疾病,medical_kg
丰海能,西药,不良反应,肺水肿,疾病,medical_kg
丰迪,西药,不良反应,喘鸣,症状,medical_kg
丰迪,西药,不良反应,呼吸困难,症状,medical_kg
丰迪,西药,不良反应,咳嗽,症状,medical_kg
丰迪,西药,适应症,支气管炎,疾病,medical_kg
丰迪,西药,适应症,肺炎,疾病,medical_kg
丰迪,西药,不良反应,肺炎,疾病,medical_kg
丰迪,西药,不良反应,间质性肺炎,症状,medical_kg
丹参注射液,中成药,不良反应,咳嗽,症状,medical_kg
丹参注射液,中成药,不良反应,呼吸困难,症状,medical_kg
丹参注射液,中成药,不良反应,喉头水肿,症状,medical_kg
丹参注射液,中成药,不良反应,憋气,症状,medical_kg
丹参注射液,中成药,不良反应,胸闷,症状,medical_kg
丹参注射液,中成药,不良反应,紫绀,症状,medical_kg
丹参注射液,中成药,不良反应,过敏性休克,疾病,medical_kg
丹参滴注液,中成药,不良反应,呼吸困难,症状,medical_kg
丹参滴注液,中成药,不良反应,咳嗽,症状,medical_kg
丹参滴注液,中成药,不良反应,喉头水肿,症状,medical_kg
丹参滴注液,中成药,不良反应,憋气,症状,medical_kg
丹参滴注液,中成药,不良反应,胸闷,症状,medical_kg
丹参滴注液,中成药,不良反应,紫绀,症状,medical_kg
丹参滴注液,中成药,不良反应,过敏性休克,疾病,medical_kg
丹参酮iia磺酸钠注射液,西药,不良反应,寒战,症状,medical_kg
丹参酮iia磺酸钠注射液,西药,不良反应,过敏性休克,疾病,medical_kg
丹参酮iia磺酸钠注射液,西药,不良反应,静脉炎,疾病,medical_kg
丹奥,西药,不良反应,过敏反应,症状,medical_kg
丹梦,西药,不良反应,哮喘,疾病,medical_kg
丹梦,西药,不良反应,咽痛，声音嘶哑,症状,medical_kg
丹梦,西药,不良反应,声音嘶哑,症状,medical_kg
丹梦,西药,不良反应,呼吸困难,症状,medical_kg
丹梦,西药,不良反应,嗜酸性粒细胞增生,症状,medical_kg
丹梦,西药,不良反应,支气管痉挛,症状,medical_kg
丹梦,西药,不良反应,支气管痉挛/哮喘,症状,medical_kg
丹梦,西药,不良反应,粒细胞缺乏,症状,medical_kg
丹梦,西药,不良反应,肺浸润，口腔炎,症状,medical_kg
丹梦,西药,不良反应,胸痛,疾病,medical_kg
丹梦,西药,不良反应,血管性水肿,疾病,medical_kg
丹梦,西药,不良反应,血管神经性水肿,症状,medical_kg
丹沅,西药,不良反应,呼吸困难,症状,medical_kg
丹溪玉屏风颗粒,中成药,注意事项,对本品过敏者禁用，过敏体质者慎用,其他治疗,medical_kg
丹溪玉屏风颗粒,中成药,注意事项,本品性状发生改变时禁止使用,其他治疗,medical_kg
丹溪玉屏风颗粒,中成药,成份,每袋装15克,药物,medical_kg
丹溪玉屏风颗粒,中成药,用法用量,口服，一次15～30克，一日2次,其他治疗,medical_kg
丹皮酚磺酸钠注射液,西药,成份,丹皮酚磺酸钠,药物,medical_kg
丹红注射液,西药,不良反应,呼吸困难,症状,medical_kg
丹红注射液,西药,不良反应,喉头水肿,症状,medical_kg
丹红注射液,西药,不良反应,憋气,症状,medical_kg
丹红注射液,西药,不良反应,剥脱性皮炎,症状,medical_kg
丹红注射液,西药,不良反应,紫绀,症状,medical_kg
