head,head_type,relation,tail,tail_type,source
ct平扫,诊疗技术及设备,分类,计算机体层摄影ct检查,其他治疗,medical_kg
ct血管成像,诊疗技术及设备,分类,计算机体层摄影ct检查,其他治疗,medical_kg
ct血管成像,诊疗技术及设备,临床表现,血管增生,症状,medical_kg
ct血管成像,诊疗技术及设备,临床表现,血管壁变薄,症状,medical_kg
etinoline爱纳灵,西药,英文名称,salbutamol sulfate sustained capsules,药物,medical_kg
etinoline爱纳灵,西药,适应症,哮喘,疾病,medical_kg
etinoline爱纳灵,西药,分类,平喘药及慢阻肺用药,其他治疗,medical_kg
etinoline爱纳灵,西药,适应症,支气管炎,疾病,medical_kg
etinoline爱纳灵,西药,成份,硫酸沙丁胺醇,药物,medical_kg
etinoline爱纳灵,西药,适应症,支气管痉挛,疾病,medical_kg
etinoline爱纳灵,西药,成份,硫酸沙丁胺醇缓释胶囊,西药,medical_kg
goodpasture综合征,疾病,英文名称,goodpasture syndrome,药物,medical_kg
goodpasture综合征,疾病,所属科室,内科,科室,medical_kg
goodpasture综合征,疾病,临床表现,反复咯血,症状,medical_kg
goodpasture综合征,疾病,并发症,可致,疾病,medical_kg
goodpasture综合征,疾病,并发症,呼吸衰竭,疾病,medical_kg
goodpasture综合征,疾病,并发症,毒综合征肺的出血,疾病,medical_kg
goodpasture综合征,疾病,临床表现,咯血,疾病,medical_kg
goodpasture综合征,疾病,并发症,窒息,疾病,medical_kg
goodpasture综合征,疾病,诊断依据,肺活检,检查,medical_kg
goodpasture综合征,疾病,诊断依据,气管镜检查,检查,medical_kg
goodpasture综合征,疾病,检查,抗肾小球基底膜（gbm）抗体,检查,medical_kg
goodpasture综合征,疾病,同义词,肺出血—肾炎综合征,疾病,medical_kg
goodpasture综合征,疾病,诊断依据,肾活检,检查,medical_kg
goodpasture综合征,疾病,诊断依据,血清学检查,检查,medical_kg
hco3重吸收试验,诊疗技术及设备,相关疾病,代谢性碱中毒,疾病,medical_kg
hco3重吸收试验,诊疗技术及设备,相关疾病,酸中毒,疾病,medical_kg
hiv相关呼吸道感染,疾病,临床表现,呼吸困难,症状,medical_kg
hiv相关呼吸道感染,疾病,临床表现,呼吸困难等,症状,medical_kg
hiv相关呼吸道感染,疾病,发病部位,呼吸道,部位,medical_kg
hiv相关呼吸道感染,疾病,易感人群,hiv患者,流行病学,medical_kg
hiv相关呼吸道感染,疾病,临床表现,咳嗽,症状,medical_kg
hiv相关呼吸道感染,疾病,临床表现,干咳,症状,medical_kg
hiv相关呼吸道感染,疾病,所属科室,呼吸内科,科室,medical_kg
hiv相关呼吸道感染,疾病,临床表现,肺炎,疾病,medical_kg
hughesstovin综合征,疾病,临床表现,咯血,疾病,medical_kg
hughesstovin综合征,疾病,同义词,肺动脉栓塞综合征,疾病,medical_kg
hughesstovin综合征,疾病,发病部位,肺动脉,部位,medical_kg
injfdp,西药,不良反应,过敏性休克,疾病,medical_kg
